 time            v(adc0)         v(adc1)         v(adc2)         v(adc3)         v(adc4)         v(adc5)         v(adc6)         v(adc7)        
 0.00000000e+00  4.65826120e-09  4.65826120e-09  4.65826120e-09  4.65826120e-09  4.65826120e-09  4.65826120e-09  4.65826120e-09  4.65826120e-09 
 2.00000000e-11  4.65826087e-09  4.65826110e-09  4.65826092e-09  4.65826094e-09  4.65807835e-09  4.65807836e-09  4.65826095e-09  4.65826053e-09 
 4.00000000e-11  4.65826100e-09  4.65826108e-09  4.65826106e-09  4.65826106e-09  4.65876345e-09  4.65876338e-09  4.65826107e-09  4.65826316e-09 
 8.00000000e-11  4.65826115e-09  4.65826114e-09  4.65826106e-09  4.65826121e-09  4.65708897e-09  4.65708931e-09  4.65826118e-09  4.65825344e-09 
 1.60000000e-10  4.65826154e-09  4.65826154e-09  4.65826192e-09  4.65826140e-09  4.65970231e-09  4.65970216e-09  4.65826142e-09  4.65827337e-09 
 3.20000000e-10  4.65826068e-09  4.65826092e-09  4.65826034e-09  4.65826102e-09  4.65675502e-09  4.65675507e-09  4.65826095e-09  4.65824677e-09 
 6.40000000e-10  4.65826170e-09  4.65826140e-09  4.65826201e-09  4.65826126e-09  4.65977836e-09  4.65977838e-09  4.65826131e-09  4.65827676e-09 
 1.28000000e-09  4.65826077e-09  4.65826105e-09  4.65826039e-09  4.65826105e-09  4.65674379e-09  4.65674381e-09  4.65826113e-09  4.65824497e-09 
 2.56000000e-09  4.65826154e-09  4.65826124e-09  4.65826202e-09  4.65826129e-09  4.65977735e-09  4.65977738e-09  4.65826127e-09  4.65827772e-09 
 4.56000000e-09  4.65826085e-09  4.65826110e-09  4.65826034e-09  4.65826103e-09  4.65674619e-09  4.65674620e-09  4.65826110e-09  4.65824438e-09 
 6.56000000e-09  4.65826153e-09  4.65826129e-09  4.65826205e-09  4.65826124e-09  4.65977461e-09  4.65977460e-09  4.65826130e-09  4.65827822e-09 
 8.56000000e-09  4.65826087e-09  4.65826110e-09  4.65826034e-09  4.65826110e-09  4.65674963e-09  4.65674968e-09  4.65826110e-09  4.65824396e-09 
