 v-sweep         v(vin_p)        i(v.x1.vib)     i(viout_p)      i(viout_n)     
 0.00000000e+00  0.00000000e+00  4.39073805e-06  2.10951048e-12  1.32093174e-05 
 1.00000000e-02  1.00000000e-02  4.39073815e-06  2.22140145e-12  1.32093174e-05 
 2.00000000e-02  2.00000000e-02  4.39073832e-06  2.42109674e-12  1.32093174e-05 
 3.00000000e-02  3.00000000e-02  4.39073870e-06  2.85966736e-12  1.32093173e-05 
 4.00000000e-02  4.00000000e-02  4.39074004e-06  4.40180878e-12  1.32093171e-05 
 5.00000000e-02  5.00000000e-02  4.39108805e-06  4.06563392e-10  1.32092631e-05 
 6.00000000e-02  6.00000000e-02  4.84879582e-06  5.32021562e-07  1.31355180e-05 
 7.00000000e-02  7.00000000e-02  5.39194489e-06  1.17107948e-06  1.30397622e-05 
 8.00000000e-02  8.00000000e-02  5.88595176e-06  1.76234425e-06  1.29426122e-05 
 9.00000000e-02  9.00000000e-02  6.32728838e-06  2.30143354e-06  1.28449324e-05 
 1.00000000e-01  1.00000000e-01  6.71711665e-06  2.78927044e-06  1.27469699e-05 
 1.10000000e-01  1.10000000e-01  7.05799833e-06  3.22831673e-06  1.26488310e-05 
 1.20000000e-01  1.20000000e-01  7.35321821e-06  3.62180582e-06  1.25505720e-05 
 1.30000000e-01  1.30000000e-01  7.60651201e-06  3.97344332e-06  1.24522269e-05 
 1.40000000e-01  1.40000000e-01  7.82187896e-06  4.28720897e-06  1.23538183e-05 
 1.50000000e-01  1.50000000e-01  8.00341114e-06  4.56718129e-06  1.22553622e-05 
 1.60000000e-01  1.60000000e-01  8.15513350e-06  4.81737521e-06  1.21568704e-05 
 1.70000000e-01  1.70000000e-01  8.28086838e-06  5.04160534e-06  1.20583520e-05 
 1.80000000e-01  1.80000000e-01  8.38414125e-06  5.24339104e-06  1.19598145e-05 
 1.90000000e-01  1.90000000e-01  8.46813814e-06  5.42591335e-06  1.18612635e-05 
 2.00000000e-01  2.00000000e-01  8.53571370e-06  5.59202275e-06  1.17627038e-05 
 2.10000000e-01  2.10000000e-01  8.58943656e-06  5.74428429e-06  1.16641396e-05 
 2.20000000e-01  2.20000000e-01  8.63164578e-06  5.88503383e-06  1.15655744e-05 
 2.30000000e-01  2.30000000e-01  8.66448643e-06  6.01641355e-06  1.14670113e-05 
 2.40000000e-01  2.40000000e-01  8.68990280e-06  6.14036505e-06  1.13684531e-05 
