 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          i(vib)          i(visense)      i(vidump)       v(q)            v(qbar)        
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45638185e-06 -9.71320779e-13  5.45637472e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  1.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45638543e-06  1.15361620e-07  5.34101571e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  2.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45638649e-06  1.35980144e-07  5.32039824e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  3.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45638867e-06  2.00710913e-07  5.25566966e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  4.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45638858e-06  1.77211370e-07  5.27916911e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45639124e-06  2.62502896e-07  5.19388024e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  6.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45639172e-06  2.61570981e-07  5.19481263e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  7.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45639323e-06  3.02754878e-07  5.15363025e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  8.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45639267e-06  2.59651983e-07  5.19673258e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  9.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.45639542e-06  3.53172251e-07  5.10321507e-06  2.00795870e-09  2.00795870e-09 
