 v-sweep         v(vin_p)        i(v.x4.vib)     i(v.x4.vibx2)   v(x4.min1)      v(x4.min2)      i(vir)          i(viout_p)      i(viout_n)     
 0.00000000e+00  0.00000000e+00  4.89386263e-06  1.73611865e-05  1.18341293e-01  1.18341293e-01  0.00000000e+00  1.24686322e-05  1.24686322e-05 
 1.00000000e-02  1.00000000e-02  4.89307103e-06  1.73610645e-05  1.18338252e-01  1.18344294e-01  5.49020509e-08  1.25242068e-05  1.24139271e-05 
 2.00000000e-02  2.00000000e-02  4.89226746e-06  1.73609427e-05  1.18335218e-01  1.18347305e-01  1.09803142e-07  1.25797927e-05  1.23592227e-05 
 3.00000000e-02  3.00000000e-02  4.89145149e-06  1.73608213e-05  1.18332193e-01  1.18350323e-01  1.64701425e-07  1.26353885e-05  1.23045210e-05 
 4.00000000e-02  4.00000000e-02  4.89062268e-06  1.73607001e-05  1.18329176e-01  1.18353349e-01  2.19595044e-07  1.26909928e-05  1.22498237e-05 
 5.00000000e-02  5.00000000e-02  4.88978053e-06  1.73605793e-05  1.18326166e-01  1.18356384e-01  2.74482129e-07  1.27466041e-05  1.21951329e-05 
 6.00000000e-02  6.00000000e-02  4.88892452e-06  1.73604587e-05  1.18323164e-01  1.18359426e-01  3.29360796e-07  1.28022212e-05  1.21404503e-05 
 7.00000000e-02  7.00000000e-02  4.88805413e-06  1.73603385e-05  1.18320170e-01  1.18362477e-01  3.84229144e-07  1.28578427e-05  1.20857779e-05 
 8.00000000e-02  8.00000000e-02  4.88716876e-06  1.73602186e-05  1.18317184e-01  1.18365536e-01  4.39085250e-07  1.29134671e-05  1.20311175e-05 
 9.00000000e-02  9.00000000e-02  4.88626782e-06  1.73600990e-05  1.18314206e-01  1.18368603e-01  4.93927169e-07  1.29690933e-05  1.19764713e-05 
 1.00000000e-01  1.00000000e-01  4.88535064e-06  1.73599797e-05  1.18311235e-01  1.18371678e-01  5.48752930e-07  1.30247198e-05  1.19218410e-05 
 1.10000000e-01  1.10000000e-01  4.88441653e-06  1.73598607e-05  1.18308273e-01  1.18374761e-01  6.03560530e-07  1.30803454e-05  1.18672288e-05 
 1.20000000e-01  1.20000000e-01  4.88346475e-06  1.73597420e-05  1.18305318e-01  1.18377851e-01  6.58347937e-07  1.31359688e-05  1.18126367e-05 
 1.30000000e-01  1.30000000e-01  4.88249451e-06  1.73596236e-05  1.18302371e-01  1.18380950e-01  7.13113081e-07  1.31915886e-05  1.17580666e-05 
 1.40000000e-01  1.40000000e-01  4.88150496e-06  1.73595055e-05  1.18299433e-01  1.18384056e-01  7.67853851e-07  1.32472037e-05  1.17035209e-05 
 1.50000000e-01  1.50000000e-01  4.88049519e-06  1.73593877e-05  1.18296502e-01  1.18387170e-01  8.22568095e-07  1.33028128e-05  1.16490015e-05 
 1.60000000e-01  1.60000000e-01  4.87946424e-06  1.73592703e-05  1.18293579e-01  1.18390291e-01  8.77253612e-07  1.33584146e-05  1.15945108e-05 
 1.70000000e-01  1.70000000e-01  4.87841105e-06  1.73591532e-05  1.18290664e-01  1.18393421e-01  9.31908148e-07  1.34140080e-05  1.15400509e-05 
 1.80000000e-01  1.80000000e-01  4.87733451e-06  1.73590363e-05  1.18287756e-01  1.18396557e-01  9.86529394e-07  1.34695917e-05  1.14856242e-05 
 1.90000000e-01  1.90000000e-01  4.87623338e-06  1.73589198e-05  1.18284857e-01  1.18399701e-01  1.04111498e-06  1.35251647e-05  1.14312331e-05 
 2.00000000e-01  2.00000000e-01  4.87510637e-06  1.73588036e-05  1.18281966e-01  1.18402853e-01  1.09566246e-06  1.35807257e-05  1.13768799e-05 
 2.10000000e-01  2.10000000e-01  4.87395205e-06  1.73586877e-05  1.18279082e-01  1.18406012e-01  1.15016933e-06  1.36362737e-05  1.13225673e-05 
 2.20000000e-01  2.20000000e-01  4.87276887e-06  1.73585721e-05  1.18276207e-01  1.18409178e-01  1.20463300e-06  1.36918077e-05  1.12682977e-05 
 2.30000000e-01  2.30000000e-01  4.87155516e-06  1.73584568e-05  1.18273339e-01  1.18412351e-01  1.25905079e-06  1.37473266e-05  1.12140739e-05 
 2.40000000e-01  2.40000000e-01  4.87030910e-06  1.73583418e-05  1.18270479e-01  1.18415532e-01  1.31341992e-06  1.38028296e-05  1.11598987e-05 
 2.50000000e-01  2.50000000e-01  4.86902868e-06  1.73582272e-05  1.18267627e-01  1.18418719e-01  1.36773754e-06  1.38583156e-05  1.11057748e-05 
 2.60000000e-01  2.60000000e-01  4.86771173e-06  1.73581128e-05  1.18264783e-01  1.18421913e-01  1.42200064e-06  1.39137840e-05  1.10517054e-05 
 2.70000000e-01  2.70000000e-01  4.86635584e-06  1.73579987e-05  1.18261947e-01  1.18425114e-01  1.47620614e-06  1.39692339e-05  1.09976934e-05 
 2.80000000e-01  2.80000000e-01  4.86495839e-06  1.73578850e-05  1.18259119e-01  1.18428321e-01  1.53035078e-06  1.40246649e-05  1.09437422e-05 
 2.90000000e-01  2.90000000e-01  4.86351645e-06  1.73577715e-05  1.18256298e-01  1.18431535e-01  1.58443119e-06  1.40800764e-05  1.08898551e-05 
 3.00000000e-01  3.00000000e-01  4.86202683e-06  1.73576584e-05  1.18253485e-01  1.18434755e-01  1.63844383e-06  1.41354682e-05  1.08360356e-05 
 3.10000000e-01  3.10000000e-01  4.86048594e-06  1.73575456e-05  1.18250680e-01  1.18437981e-01  1.69238498e-06  1.41908400e-05  1.07822875e-05 
 3.20000000e-01  3.20000000e-01  4.85888982e-06  1.73574330e-05  1.18247882e-01  1.18441213e-01  1.74625073e-06  1.42461919e-05  1.07286146e-05 
 3.30000000e-01  3.30000000e-01  4.85723403e-06  1.73573208e-05  1.18245092e-01  1.18444451e-01  1.80003696e-06  1.43015242e-05  1.06750211e-05 
 3.40000000e-01  3.40000000e-01  4.85551361e-06  1.73572088e-05  1.18242309e-01  1.18447694e-01  1.85373932e-06  1.43568376e-05  1.06215113e-05 
 3.50000000e-01  3.50000000e-01  4.85372297e-06  1.73570972e-05  1.18239534e-01  1.18450943e-01  1.90735317e-06  1.44121330e-05  1.05680898e-05 
 3.60000000e-01  3.60000000e-01  4.85185582e-06  1.73569858e-05  1.18236765e-01  1.18454196e-01  1.96087361e-06  1.44674117e-05  1.05147616e-05 
 3.70000000e-01  3.70000000e-01  4.84990504e-06  1.73568747e-05  1.18234004e-01  1.18457455e-01  2.01429539e-06  1.45226757e-05  1.04615318e-05 
 3.80000000e-01  3.80000000e-01  4.84786250e-06  1.73567638e-05  1.18231250e-01  1.18460718e-01  2.06761288e-06  1.45779274e-05  1.04084062e-05 
 3.90000000e-01  3.90000000e-01  4.84571899e-06  1.73566533e-05  1.18228503e-01  1.18463985e-01  2.12082003e-06  1.46331700e-05  1.03553906e-05 
 4.00000000e-01  4.00000000e-01  4.84346389e-06  1.73565429e-05  1.18225762e-01  1.18467255e-01  2.17391032e-06  1.46884075e-05  1.03024917e-05 
 4.10000000e-01  4.10000000e-01  4.84108501e-06  1.73564329e-05  1.18223027e-01  1.18470530e-01  2.22687666e-06  1.47436451e-05  1.02497165e-05 
 4.20000000e-01  4.20000000e-01  4.83856827e-06  1.73563230e-05  1.18220298e-01  1.18473807e-01  2.27971131e-06  1.47988891e-05  1.01970726e-05 
 4.30000000e-01  4.30000000e-01  4.83589729e-06  1.73562134e-05  1.18217574e-01  1.18477086e-01  2.33240580e-06  1.48541474e-05  1.01445687e-05 
 4.40000000e-01  4.40000000e-01  4.83305297e-06  1.73561039e-05  1.18214856e-01  1.18480368e-01  2.38495077e-06  1.49094296e-05  1.00922139e-05 
 4.50000000e-01  4.50000000e-01  4.83001294e-06  1.73559946e-05  1.18212141e-01  1.18483650e-01  2.43733586e-06  1.49647479e-05  1.00400186e-05 
 4.60000000e-01  4.60000000e-01  4.82675083e-06  1.73558855e-05  1.18209430e-01  1.18486933e-01  2.48954944e-06  1.50201168e-05  9.98799449e-06 
 4.70000000e-01  4.70000000e-01  4.82323547e-06  1.73557764e-05  1.18206721e-01  1.18490216e-01  2.54157846e-06  1.50755546e-05  9.93615446e-06 
 4.80000000e-01  4.80000000e-01  4.81942977e-06  1.73556674e-05  1.18204014e-01  1.18493498e-01  2.59340809e-06  1.51310833e-05  9.88451332e-06 
 4.90000000e-01  4.90000000e-01  4.81528949e-06  1.73555584e-05  1.18201308e-01  1.18496777e-01  2.64502139e-06  1.51867302e-05  9.83308798e-06 
 5.00000000e-01  5.00000000e-01  4.81076160e-06  1.73554493e-05  1.18198599e-01  1.18500052e-01  2.69639879e-06  1.52425288e-05  9.78189790e-06 
 5.10000000e-01  5.10000000e-01  4.80578228e-06  1.73553401e-05  1.18195887e-01  1.18503323e-01  2.74751758e-06  1.52985201e-05  9.73096574e-06 
 5.20000000e-01  5.20000000e-01  4.80027461e-06  1.73552306e-05  1.18193170e-01  1.18506586e-01  2.79835112e-06  1.53547542e-05  9.68031804e-06 
 5.30000000e-01  5.30000000e-01  4.79414565e-06  1.73551208e-05  1.18190443e-01  1.18509840e-01  2.84886795e-06  1.54112925e-05  9.62998615e-06 
 5.40000000e-01  5.40000000e-01  4.78728313e-06  1.73550105e-05  1.18187704e-01  1.18513083e-01  2.89903068e-06  1.54682098e-05  9.58000732e-06 
 5.50000000e-01  5.50000000e-01  4.77955166e-06  1.73548995e-05  1.18184949e-01  1.18516311e-01  2.94879457e-06  1.55255966e-05  9.53042613e-06 
 5.60000000e-01  5.60000000e-01  4.77078876e-06  1.73547876e-05  1.18182172e-01  1.18519521e-01  2.99810596e-06  1.55835614e-05  9.48129603e-06 
 5.70000000e-01  5.70000000e-01  4.76080106e-06  1.73546746e-05  1.18179367e-01  1.18522708e-01  3.04690037e-06  1.56422329e-05  9.43268127e-06 
 5.80000000e-01  5.80000000e-01  4.74936150e-06  1.73545602e-05  1.18176528e-01  1.18525868e-01  3.09510047e-06  1.57017606e-05  9.38465890e-06 
 5.90000000e-01  5.90000000e-01  4.73620862e-06  1.73544441e-05  1.18173646e-01  1.18528992e-01  3.14261410e-06  1.57623134e-05  9.33732072e-06 
 6.00000000e-01  6.00000000e-01  4.72104995e-06  1.73543259e-05  1.18170714e-01  1.18532075e-01  3.18933262e-06  1.58240749e-05  9.29077498e-06 
 6.10000000e-01  6.10000000e-01  4.70357136e-06  1.73542053e-05  1.18167722e-01  1.18535108e-01  3.23513005e-06  1.58872329e-05  9.24514717e-06 
 6.20000000e-01  6.20000000e-01  4.68345457e-06  1.73540820e-05  1.18164662e-01  1.18538079e-01  3.27986371e-06  1.59519626e-05  9.20057944e-06 
 6.30000000e-01  6.30000000e-01  4.66040397e-06  1.73539557e-05  1.18161530e-01  1.18540979e-01  3.32337678e-06  1.60184027e-05  9.15722801e-06 
 6.40000000e-01  6.40000000e-01  4.63418154e-06  1.73538264e-05  1.18158321e-01  1.18543796e-01  3.36550312e-06  1.60866248e-05  9.11525839e-06 
 6.50000000e-01  6.50000000e-01  4.60464594e-06  1.73536940e-05  1.18155038e-01  1.18546516e-01  3.40607431e-06  1.61566020e-05  9.07483834e-06 
 6.60000000e-01  6.60000000e-01  4.57178898e-06  1.73535590e-05  1.18151689e-01  1.18549129e-01  3.44492789e-06  1.62281803e-05  9.03612971e-06 
 6.70000000e-01  6.70000000e-01  4.53576131e-06  1.73534218e-05  1.18148287e-01  1.18551624e-01  3.48191572e-06  1.63010614e-05  8.99928005e-06 
 6.80000000e-01  6.80000000e-01  4.49688115e-06  1.73532834e-05  1.18144854e-01  1.18553991e-01  3.51691102e-06  1.63748013e-05  8.96441565e-06 
 6.90000000e-01  6.90000000e-01  4.45562346e-06  1.73531448e-05  1.18141417e-01  1.18556222e-01  3.54981331e-06  1.64488255e-05  8.93163659e-06 
 7.00000000e-01  7.00000000e-01  4.41259163e-06  1.73530072e-05  1.18138007e-01  1.18558311e-01  3.58055095e-06  1.65224602e-05  8.90101421e-06 
 7.10000000e-01  7.10000000e-01  4.36847679e-06  1.73528721e-05  1.18134657e-01  1.18560254e-01  3.60908173e-06  1.65949735e-05  8.87259052e-06 
 7.20000000e-01  7.20000000e-01  4.32401154e-06  1.73527408e-05  1.18131402e-01  1.18562050e-01  3.63539218e-06  1.66656205e-05  8.84637894e-06 
 7.30000000e-01  7.30000000e-01  4.27992368e-06  1.73526146e-05  1.18128273e-01  1.18563699e-01  3.65949609e-06  1.67336886e-05  8.82236568e-06 
 7.40000000e-01  7.40000000e-01  4.23689483e-06  1.73524946e-05  1.18125299e-01  1.18565202e-01  3.68143284e-06  1.67985366e-05  8.80051152e-06 
 7.50000000e-01  7.50000000e-01  4.19552677e-06  1.73523818e-05  1.18122503e-01  1.18566563e-01  3.70126540e-06  1.68596267e-05  8.78075368e-06 
