Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_281,VGND,li1,135.4700,38.0800,0.000021
FILLER_9_273,VGND,li1,131.7900,38.0800,0.000021
FILLER_9_265,VGND,li1,128.3400,38.0800,0.000020
FILLER_9_248,VGND,li1,120.5200,38.0800,0.000019
FILLER_9_225,VGND,li1,110.4000,38.0800,0.000018
FILLER_9_216,VGND,li1,106.7200,38.0800,0.000018
FILLER_9_209,VGND,li1,102.3500,38.0800,0.000017
FILLER_9_201,VGND,li1,99.8200,38.0800,0.000017
FILLER_9_190,VGND,li1,94.3000,38.0800,0.000016
FILLER_9_178,VGND,li1,90.1600,38.0800,0.000015
FILLER_9_173,VGND,li1,85.3300,38.0800,0.000015
FILLER_9_169,VGND,li1,83.4900,38.0800,0.000014
FILLER_9_167,VGND,li1,82.5700,38.0800,0.000014
FILLER_9_159,VGND,li1,80.5000,38.0800,0.000014
FILLER_9_153,VGND,li1,76.3600,38.0800,0.000013
FILLER_9_141,VGND,li1,73.1400,38.0800,0.000013
FILLER_9_133,VGND,li1,67.3900,38.0800,0.000012
FILLER_9_121,VGND,li1,63.9400,38.0800,0.000012
FILLER_9_113,VGND,li1,58.4200,38.0800,0.000011
FILLER_9_110,VGND,li1,56.5800,38.0800,0.000010
FILLER_9_102,VGND,li1,54.2800,38.0800,0.000010
FILLER_9_97,VGND,li1,50.3700,38.0800,0.000009
FILLER_9_85,VGND,li1,47.3800,38.0800,0.000008
FILLER_9_83,VGND,li1,43.9300,38.0800,0.000007
FILLER_9_76,VGND,li1,41.1700,38.0800,0.000007
FILLER_9_64,VGND,li1,37.7200,38.0800,0.000006
FILLER_9_57,VGND,li1,32.4300,38.0800,0.000004
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000004
FILLER_9_45,VGND,li1,28.0600,38.0800,0.000003
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000003
FILLER_9_26,VGND,li1,17.9400,38.0800,0.000003
FILLER_9_10,VGND,li1,12.8800,38.0800,0.000003
FILLER_8_276,VGND,li1,133.4000,32.6400,0.000073
FILLER_8_264,VGND,li1,129.7200,32.6400,0.000073
FILLER_8_253,VGND,li1,123.7400,32.6400,0.000073
FILLER_8_235,VGND,li1,113.8500,32.6400,0.000072
FILLER_8_231,VGND,li1,112.0100,32.6400,0.000072
FILLER_8_227,VGND,li1,110.8600,32.6400,0.000072
FILLER_8_195,VGND,li1,95.4500,32.6400,0.000066
FILLER_8_191,VGND,li1,93.6100,32.6400,0.000066
FILLER_8_165,VGND,li1,81.8800,32.6400,0.000060
FILLER_8_157,VGND,li1,79.5800,32.6400,0.000058
FILLER_8_153,VGND,li1,76.1300,32.6400,0.000057
FILLER_8_145,VGND,li1,74.0600,32.6400,0.000056
FILLER_8_123,VGND,li1,62.3300,32.6400,0.000048
FILLER_8_115,VGND,li1,60.2600,32.6400,0.000046
FILLER_8_97,VGND,li1,50.6000,32.6400,0.000038
FILLER_8_85,VGND,li1,47.3800,32.6400,0.000035
FILLER_8_81,VGND,li1,43.4700,32.6400,0.000032
FILLER_8_69,VGND,li1,40.0200,32.6400,0.000028
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000016
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000012
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000012
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000012
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000012
