net,length_um
net12,139.06µm
net13,113.02µm
_050_,110.26µm
clknet_1_1__leaf_clk,104µm
clknet_1_0__leaf_clk,102.31µm
net34,96.04µm
net11,95.3µm
net14,86.46µm
_059_,86.36µm
count\[2\],82.72µm
net30,78.02µm
net15,76.5µm
clk,76.43µm
net1,71.76µm
net28,69.64µm
_048_,68.12µm
net31,67.62µm
_060_,63.56µm
_069_,62.47µm
net2,57.62µm
net29,54.32µm
net33,53.43µm
net27,50.54µm
_049_,50.48µm
_064_,48.74µm
net18,48.26µm
_061_,46.8µm
count\[0\],45.76µm
_026_,45.28µm
_030_,44.86µm
count\[3\],34.7µm
net8,33.94µm
_017_,30.36µm
_040_,29.66µm
net5,29.16µm
net32,27.58µm
net21,26.74µm
net7,26.52µm
net6,21.9µm
_063_,20.18µm
net9,20.04µm
net16,19.26µm
_046_,18.4µm
net45,18.38µm
count\[1\],18.1µm
clknet_0_clk,17.82µm
net19,17.82µm
_062_,17.54µm
_065_,16.9µm
dac_in[2],14.2µm
adc_out[7],14.19µm
dac_in_n[1],13.74µm
net17,13.02µm
_039_,12.88µm
dac_in[6],12.82µm
dac_in[7],12.82µm
dac_in[1],12.36µm
dac_in_n[2],12.36µm
dac_in_n[3],12.36µm
dac_in_n[6],12.36µm
dac_in[0],11.9µm
dac_in[3],11.9µm
dac_in[4],11.9µm
dac_in[5],11.9µm
dac_in_n[4],11.9µm
dac_in_n[5],11.9µm
dac_in_n[7],11.9µm
_052_,11.7µm
dac_in_n[0],11.44µm
adc_out[6],11.33µm
adc_out[5],11.27µm
_032_,11.24µm
net3,11.12µm
net23,11.08µm
net25,10.96µm
_006_,10.28µm
_023_,10.28µm
_054_,10.28µm
_057_,10.28µm
net4,9.82µm
net24,9.58µm
_044_,9.38µm
_022_,8.56µm
adc_out[0],8.41µm
comp,8.41µm
adc_out[1],8.27µm
net43,8.26µm
_036_,8.1µm
comparator_clk,8.05µm
net22,8.02µm
rst_n,7.81µm
net10,7.52µm
_068_,7.4µm
adc_out[4],6.91µm
_014_,6.905µm
_051_,6.78µm
_010_,6.745µm
_028_,6.74µm
adc_out[3],6.57µm
_009_,6.26µm
adc_out[2],6.23µm
_015_,6.225µm
_011_,5.805µm
_056_,5.8µm
_058_,5.68µm
_025_,5.34µm
_037_,5.26µm
_045_,5.26µm
net20,5.26µm
_053_,5.22µm
_041_,4.95µm
_055_,4.92µm
_004_,4.845µm
_012_,4.845µm
_043_,4.74µm
_047_,4.6µm
_016_,4.12µm
_033_,3.68µm
net42,3.66µm
net35,3.64µm
_007_,3.52µm
_001_,3.465µm
net39,3.415µm
_021_,3.225µm
_002_,3.125µm
_029_,3.1µm
_008_,3.045µm
_005_,3.005µm
_019_,2.98µm
_020_,2.98µm
_024_,2.98µm
_071_,2.96µm
net26,2.96µm
_038_,2.64µm
net38,2.64µm
_013_,2.585µm
_018_,2.375µm
net37,2.375µm
_035_,2.16µm
_003_,2.08µm
_027_,1.84µm
net36,1.7µm
net46,1.685µm
_042_,1.56µm
_070_,1.48µm
_066_,1.38µm
net40,1.38µm
net41,1.38µm
net44,1.38µm
net47,1.38µm
_031_,1.02µm
_034_,0.46µm
_067_,0.46µm
