Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_279,VPWR,li1,134.0900,35.3600,1.799995
FILLER_9_273,VPWR,li1,132.4800,35.3600,1.799995
FILLER_9_257,VPWR,li1,126.5000,35.3600,1.799995
FILLER_9_251,VPWR,li1,121.2100,35.3600,1.799995
FILLER_9_247,VPWR,li1,120.0600,35.3600,1.799995
FILLER_9_235,VPWR,li1,116.3800,35.3600,1.799995
FILLER_9_225,VPWR,li1,110.4000,35.3600,1.799995
FILLER_9_216,VPWR,li1,106.7200,35.3600,1.799995
FILLER_9_209,VPWR,li1,102.3500,35.3600,1.799995
FILLER_9_201,VPWR,li1,99.8200,35.3600,1.799995
FILLER_9_190,VPWR,li1,94.3000,35.3600,1.799995
FILLER_9_178,VPWR,li1,90.1600,35.3600,1.799996
FILLER_9_173,VPWR,li1,85.3300,35.3600,1.799996
FILLER_9_169,VPWR,li1,84.1800,35.3600,1.799996
FILLER_9_167,VPWR,li1,82.5700,35.3600,1.799996
FILLER_9_159,VPWR,li1,80.5000,35.3600,1.799996
FILLER_9_153,VPWR,li1,76.3600,35.3600,1.799996
FILLER_9_141,VPWR,li1,73.1400,35.3600,1.799996
FILLER_9_133,VPWR,li1,67.3900,35.3600,1.799996
FILLER_9_121,VPWR,li1,63.9400,35.3600,1.799996
FILLER_9_113,VPWR,li1,58.4200,35.3600,1.799997
FILLER_9_110,VPWR,li1,56.5800,35.3600,1.799997
FILLER_9_102,VPWR,li1,54.2800,35.3600,1.799997
FILLER_9_97,VPWR,li1,50.3700,35.3600,1.799997
FILLER_9_85,VPWR,li1,47.3800,35.3600,1.799997
FILLER_9_83,VPWR,li1,43.9300,35.3600,1.799997
FILLER_9_76,VPWR,li1,41.1700,35.3600,1.799998
FILLER_9_70,VPWR,li1,37.9500,35.3600,1.799998
FILLER_9_64,VPWR,li1,36.3400,35.3600,1.799998
FILLER_9_57,VPWR,li1,32.4300,35.3600,1.799998
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799998
FILLER_9_45,VPWR,li1,28.0600,35.3600,1.799999
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.799999
FILLER_9_26,VPWR,li1,17.9400,35.3600,1.799999
FILLER_9_21,VPWR,li1,15.4100,35.3600,1.799999
FILLER_9_15,VPWR,li1,13.8000,35.3600,1.799999
FILLER_8_287,VPWR,li1,137.7700,35.3600,1.799995
FILLER_8_279,VPWR,li1,135.7000,35.3600,1.799995
FILLER_8_273,VPWR,li1,131.7900,35.3600,1.799995
FILLER_8_265,VPWR,li1,129.2600,35.3600,1.799995
FILLER_8_253,VPWR,li1,124.6600,35.3600,1.799995
FILLER_8_251,VPWR,li1,121.2100,35.3600,1.799995
FILLER_8_239,VPWR,li1,118.2200,35.3600,1.799995
FILLER_8_227,VPWR,li1,112.7000,35.3600,1.799995
FILLER_8_223,VPWR,li1,108.3300,35.3600,1.799995
FILLER_8_197,VPWR,li1,96.3700,35.3600,1.799995
FILLER_8_195,VPWR,li1,95.4500,35.3600,1.799995
FILLER_8_189,VPWR,li1,93.8400,35.3600,1.799995
FILLER_8_169,VPWR,li1,84.1800,35.3600,1.799996
FILLER_8_144,VPWR,li1,73.1400,35.3600,1.799996
FILLER_8_138,VPWR,li1,69.4600,35.3600,1.799996
FILLER_8_121,VPWR,li1,61.4100,35.3600,1.799997
FILLER_8_113,VPWR,li1,59.3400,35.3600,1.799997
FILLER_8_45,VPWR,li1,28.9800,35.3600,1.799999
FILLER_8_21,VPWR,li1,16.1000,35.3600,1.799999
FILLER_8_7,VPWR,li1,8.9700,35.3600,1.799999
FILLER_7_287,VPWR,li1,137.7700,29.9200,1.799998
FILLER_7_281,VPWR,li1,136.1600,29.9200,1.799998
FILLER_7_279,VPWR,li1,134.0900,29.9200,1.799998
FILLER_7_273,VPWR,li1,132.4800,29.9200,1.799998
FILLER_7_261,VPWR,li1,128.3400,29.9200,1.799998
FILLER_7_249,VPWR,li1,122.8200,29.9200,1.799998
FILLER_7_237,VPWR,li1,117.3000,29.9200,1.799998
FILLER_7_225,VPWR,li1,111.7800,29.9200,1.799998
FILLER_7_218,VPWR,li1,107.1800,29.9200,1.799998
FILLER_7_206,VPWR,li1,103.0400,29.9200,1.799998
FILLER_7_196,VPWR,li1,95.9100,29.9200,1.799998
FILLER_7_181,VPWR,li1,91.5400,29.9200,1.799998
FILLER_7_169,VPWR,li1,86.0200,29.9200,1.799998
FILLER_7_162,VPWR,li1,81.4200,29.9200,1.799998
FILLER_7_156,VPWR,li1,77.7400,29.9200,1.799998
FILLER_7_144,VPWR,li1,73.1400,29.9200,1.799998
FILLER_7_129,VPWR,li1,65.0900,29.9200,1.799999
FILLER_7_117,VPWR,li1,62.1000,29.9200,1.799999
FILLER_7_111,VPWR,li1,56.8100,29.9200,1.799999
FILLER_7_93,VPWR,li1,48.7600,29.9200,1.799999
FILLER_7_81,VPWR,li1,45.5400,29.9200,1.799999
FILLER_7_50,VPWR,li1,28.7500,29.9200,1.799999
