 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          v(vconst)       i(vib)          i(visense)      i(vidump)      
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.40371749e-14  2.44374009e-06 
 1.00000000e+00  1.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  9.54642403e-09  2.43419368e-06 
 1.00000000e+00  2.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  1.90928189e-08  2.42464728e-06 
 1.00000000e+00  3.00000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  2.86392289e-08  2.41510087e-06 
 1.00000000e+00  4.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  3.81855706e-08  2.40555453e-06 
 1.00000000e+00  5.00000000e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  4.77319806e-08  2.39600812e-06 
 1.00000000e+00  6.00000000e+00  0.00000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  5.72783754e-08  2.38646173e-06 
 1.00000000e+00  7.00000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  6.68247854e-08  2.37691532e-06 
 1.00000000e+00  8.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  7.63709186e-08  2.36736918e-06 
 1.00000000e+00  9.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.03779229e-01  2.44374012e-06  8.59173285e-08  2.35782277e-06 
