 i-sweep         v(vout)         i(viin)         v(vgate)        v(vmid)        
 0.00000000e+00  2.00000037e-01  0.00000000e+00  1.50000000e+00  2.00000000e-01 
 1.00000000e-07  2.02620922e-01  1.00000000e-07  1.50000000e+00  2.00000000e-01 
 2.00000000e-07  2.05253563e-01  2.00000000e-07  1.50000000e+00  2.00000000e-01 
 3.00000000e-07  2.07898119e-01  3.00000000e-07  1.50000000e+00  2.00000000e-01 
 4.00000000e-07  2.10554747e-01  4.00000000e-07  1.50000000e+00  2.00000000e-01 
 5.00000000e-07  2.13223613e-01  5.00000000e-07  1.50000000e+00  2.00000000e-01 
 6.00000000e-07  2.15904882e-01  6.00000000e-07  1.50000000e+00  2.00000000e-01 
 7.00000000e-07  2.18598728e-01  7.00000000e-07  1.50000000e+00  2.00000000e-01 
 8.00000000e-07  2.21305323e-01  8.00000000e-07  1.50000000e+00  2.00000000e-01 
 9.00000000e-07  2.24024849e-01  9.00000000e-07  1.50000000e+00  2.00000000e-01 
 1.00000000e-06  2.26757488e-01  1.00000000e-06  1.50000000e+00  2.00000000e-01 
 1.10000000e-06  2.29503428e-01  1.10000000e-06  1.50000000e+00  2.00000000e-01 
 1.20000000e-06  2.32262862e-01  1.20000000e-06  1.50000000e+00  2.00000000e-01 
 1.30000000e-06  2.35035986e-01  1.30000000e-06  1.50000000e+00  2.00000000e-01 
 1.40000000e-06  2.37823003e-01  1.40000000e-06  1.50000000e+00  2.00000000e-01 
 1.50000000e-06  2.40624120e-01  1.50000000e-06  1.50000000e+00  2.00000000e-01 
 1.60000000e-06  2.43439547e-01  1.60000000e-06  1.50000000e+00  2.00000000e-01 
 1.70000000e-06  2.46269504e-01  1.70000000e-06  1.50000000e+00  2.00000000e-01 
 1.80000000e-06  2.49114213e-01  1.80000000e-06  1.50000000e+00  2.00000000e-01 
 1.90000000e-06  2.51973903e-01  1.90000000e-06  1.50000000e+00  2.00000000e-01 
 2.00000000e-06  2.54848808e-01  2.00000000e-06  1.50000000e+00  2.00000000e-01 
 2.10000000e-06  2.57739170e-01  2.10000000e-06  1.50000000e+00  2.00000000e-01 
 2.20000000e-06  2.60645235e-01  2.20000000e-06  1.50000000e+00  2.00000000e-01 
 2.30000000e-06  2.63567259e-01  2.30000000e-06  1.50000000e+00  2.00000000e-01 
 2.40000000e-06  2.66505501e-01  2.40000000e-06  1.50000000e+00  2.00000000e-01 
 2.50000000e-06  2.69460230e-01  2.50000000e-06  1.50000000e+00  2.00000000e-01 
 2.60000000e-06  2.72431721e-01  2.60000000e-06  1.50000000e+00  2.00000000e-01 
 2.70000000e-06  2.75420258e-01  2.70000000e-06  1.50000000e+00  2.00000000e-01 
 2.80000000e-06  2.78426132e-01  2.80000000e-06  1.50000000e+00  2.00000000e-01 
 2.90000000e-06  2.81449643e-01  2.90000000e-06  1.50000000e+00  2.00000000e-01 
 3.00000000e-06  2.84491100e-01  3.00000000e-06  1.50000000e+00  2.00000000e-01 
 3.10000000e-06  2.87550819e-01  3.10000000e-06  1.50000000e+00  2.00000000e-01 
 3.20000000e-06  2.90629129e-01  3.20000000e-06  1.50000000e+00  2.00000000e-01 
 3.30000000e-06  2.93726366e-01  3.30000000e-06  1.50000000e+00  2.00000000e-01 
 3.40000000e-06  2.96842876e-01  3.40000000e-06  1.50000000e+00  2.00000000e-01 
 3.50000000e-06  2.99979019e-01  3.50000000e-06  1.50000000e+00  2.00000000e-01 
 3.60000000e-06  3.03135164e-01  3.60000000e-06  1.50000000e+00  2.00000000e-01 
 3.70000000e-06  3.06311690e-01  3.70000000e-06  1.50000000e+00  2.00000000e-01 
 3.80000000e-06  3.09508992e-01  3.80000000e-06  1.50000000e+00  2.00000000e-01 
 3.90000000e-06  3.12727475e-01  3.90000000e-06  1.50000000e+00  2.00000000e-01 
 4.00000000e-06  3.15967558e-01  4.00000000e-06  1.50000000e+00  2.00000000e-01 
 4.10000000e-06  3.19229675e-01  4.10000000e-06  1.50000000e+00  2.00000000e-01 
 4.20000000e-06  3.22514273e-01  4.20000000e-06  1.50000000e+00  2.00000000e-01 
 4.30000000e-06  3.25821816e-01  4.30000000e-06  1.50000000e+00  2.00000000e-01 
 4.40000000e-06  3.29152783e-01  4.40000000e-06  1.50000000e+00  2.00000000e-01 
 4.50000000e-06  3.32507670e-01  4.50000000e-06  1.50000000e+00  2.00000000e-01 
 4.60000000e-06  3.35886991e-01  4.60000000e-06  1.50000000e+00  2.00000000e-01 
 4.70000000e-06  3.39291279e-01  4.70000000e-06  1.50000000e+00  2.00000000e-01 
 4.80000000e-06  3.42721087e-01  4.80000000e-06  1.50000000e+00  2.00000000e-01 
 4.90000000e-06  3.46176986e-01  4.90000000e-06  1.50000000e+00  2.00000000e-01 
 5.00000000e-06  3.49659572e-01  5.00000000e-06  1.50000000e+00  2.00000000e-01 
 5.10000000e-06  3.53169462e-01  5.10000000e-06  1.50000000e+00  2.00000000e-01 
 5.20000000e-06  3.56707297e-01  5.20000000e-06  1.50000000e+00  2.00000000e-01 
 5.30000000e-06  3.60273745e-01  5.30000000e-06  1.50000000e+00  2.00000000e-01 
 5.40000000e-06  3.63869500e-01  5.40000000e-06  1.50000000e+00  2.00000000e-01 
 5.50000000e-06  3.67495284e-01  5.50000000e-06  1.50000000e+00  2.00000000e-01 
 5.60000000e-06  3.71151849e-01  5.60000000e-06  1.50000000e+00  2.00000000e-01 
 5.70000000e-06  3.74839980e-01  5.70000000e-06  1.50000000e+00  2.00000000e-01 
 5.80000000e-06  3.78560496e-01  5.80000000e-06  1.50000000e+00  2.00000000e-01 
 5.90000000e-06  3.82314250e-01  5.90000000e-06  1.50000000e+00  2.00000000e-01 
 6.00000000e-06  3.86102135e-01  6.00000000e-06  1.50000000e+00  2.00000000e-01 
 6.10000000e-06  3.89925084e-01  6.10000000e-06  1.50000000e+00  2.00000000e-01 
 6.20000000e-06  3.93784072e-01  6.20000000e-06  1.50000000e+00  2.00000000e-01 
 6.30000000e-06  3.97680122e-01  6.30000000e-06  1.50000000e+00  2.00000000e-01 
 6.40000000e-06  4.01614304e-01  6.40000000e-06  1.50000000e+00  2.00000000e-01 
 6.50000000e-06  4.05587743e-01  6.50000000e-06  1.50000000e+00  2.00000000e-01 
 6.60000000e-06  4.09601618e-01  6.60000000e-06  1.50000000e+00  2.00000000e-01 
 6.70000000e-06  4.13657168e-01  6.70000000e-06  1.50000000e+00  2.00000000e-01 
 6.80000000e-06  4.17755698e-01  6.80000000e-06  1.50000000e+00  2.00000000e-01 
 6.90000000e-06  4.21898582e-01  6.90000000e-06  1.50000000e+00  2.00000000e-01 
 7.00000000e-06  4.26087267e-01  7.00000000e-06  1.50000000e+00  2.00000000e-01 
