 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.37217737e-11  5.90150207e-09  5.90150207e-06  4.43205385e-14  4.42818209e-14  4.42672564e-14  4.42633188e-14  4.42670924e-14  4.42813650e-14  4.43192926e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11458932e-08  1.50911995e-08  1.50911995e-05  1.06317396e-06  4.27768465e-14  4.28908231e-14  4.30011529e-14  4.31087544e-14  4.32142051e-14  4.33176405e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.23144635e-08  2.52085061e-08  2.52085061e-05  4.27765299e-14  1.06317396e-06  4.27768456e-14  4.28908125e-14  4.30011047e-14  4.31085594e-14  4.32134360e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.33374466e-08  3.55498174e-08  3.55498174e-05  1.06315525e-06  1.06315521e-06  4.27086204e-14  4.28252963e-14  4.29375528e-14  4.30464528e-14  4.31523544e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.45794427e-08  4.62866944e-08  4.62866944e-05  4.28905476e-14  4.27768527e-14  1.06317398e-06  4.27769111e-14  4.28908291e-14  4.30009401e-14  4.31076966e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.56728731e-08  5.69950923e-08  5.69950923e-05  1.06316370e-06  4.26584069e-14  1.06316368e-06  4.27392822e-14  4.28546344e-14  4.29657811e-14  4.30732669e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.66331017e-08  6.76478571e-08  6.76478571e-05  4.27081597e-14  1.06315514e-06  1.06315515e-06  4.27084066e-14  4.28250396e-14  4.29371027e-14  4.30452330e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.72833915e-08  7.80483856e-08  7.80483856e-05  1.06314808e-06  1.06314135e-06  1.06314796e-06  4.26826023e-14  4.28003850e-14  4.29132633e-14  4.30219662e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.89179453e-08  8.94506585e-08  8.94506585e-05  4.30010625e-14  4.28908611e-14  4.27769199e-14  1.06317399e-06  4.27768577e-14  4.28905611e-14  4.29998428e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00045324e-07  1.00385983e-07  1.00385983e-04  1.06316854e-06  4.27079612e-14  4.27079534e-14  1.06316854e-06  4.27569085e-14  4.28713500e-14  4.29811488e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11025715e-07  1.11199328e-07  1.11199328e-04  4.27388964e-14  1.06316365e-06  4.26582679e-14  1.06316366e-06  4.27391550e-14  4.28542849e-14  4.29645653e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.21733917e-07  1.21761873e-07  1.21761873e-04  1.06315153e-06  1.06314781e-06  4.26193134e-14  1.06315930e-06  4.27233479e-14  4.28391174e-14  4.29498443e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.32772203e-07  1.32664597e-07  1.32664597e-04  4.28247162e-14  4.27083408e-14  1.06315515e-06  1.06315515e-06  4.27083485e-14  4.28247489e-14  4.29359158e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.43450009e-07  1.43222996e-07  1.43222996e-04  1.06315935e-06  4.26192965e-14  1.06314777e-06  1.06315141e-06  4.26948974e-14  4.28118847e-14  4.29234602e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.54096580e-07  1.53760204e-07  1.53760204e-04  4.26822706e-14  1.06314791e-06  1.06314127e-06  1.06314792e-06  4.26823745e-14  4.27999270e-14  4.29118951e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.64366960e-07  1.63932951e-07  1.63932951e-04  1.06314491e-06  1.06313567e-06  1.06313563e-06  1.06314474e-06  4.26710262e-14  4.27891071e-14  4.29014415e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.77108086e-07  1.76562183e-07  1.76562183e-04  4.31088496e-14  4.30011796e-14  4.28908324e-14  4.27768514e-14  1.06317396e-06  4.27765346e-14  4.28893086e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.88252755e-07  1.87616231e-07  1.87616231e-04  1.06317116e-06  4.27388574e-14  4.27766476e-14  4.27388258e-14  1.06317115e-06  4.27662152e-14  4.28793614e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.99264388e-07  1.98544126e-07  1.98544126e-04  4.27565897e-14  1.06316851e-06  4.27078565e-14  4.27078542e-14  1.06316851e-06  4.27565667e-14  4.28700708e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.10028362e-07  2.09231187e-07  2.09231187e-04  1.06315334e-06  1.06315135e-06  4.26584315e-14  4.26818225e-14  1.06316605e-06  4.27476062e-14  4.28614513e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.21083540e-07  2.20211920e-07  2.20211920e-04  4.28542502e-14  4.27391434e-14  1.06316366e-06  4.26582576e-14  1.06316364e-06  4.27388397e-14  4.28530268e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.31864835e-07  2.30924618e-07  2.30924618e-04  1.06316146e-06  4.26377687e-14  1.06315510e-06  4.26376486e-14  1.06316139e-06  4.27306763e-14  4.28451895e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.42525636e-07  2.41521119e-07  2.41521119e-04  4.26947080e-14  1.06315139e-06  1.06314774e-06  4.26191019e-14  1.06315926e-06  4.27229453e-14  4.28377743e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.52782396e-07  2.51719049e-07  2.51719049e-04  1.06314646e-06  1.06313842e-06  1.06314145e-06  4.26026699e-14  1.06315728e-06  4.27158007e-14  4.28309279e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.64400180e-07  2.63273503e-07  2.63273503e-04  4.29371224e-14  4.28250331e-14  4.27083927e-14  1.06315515e-06  1.06315513e-06  4.27080272e-14  4.28234856e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.75145996e-07  2.73963632e-07  2.73963632e-04  1.06316608e-06  4.26818243e-14  4.26582888e-14  1.06315129e-06  1.06315321e-06  4.27011150e-14  4.28168743e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.85750389e-07  2.84515600e-07  2.84515600e-04  4.27230315e-14  1.06315927e-06  4.26191006e-14  1.06314774e-06  1.06315138e-06  4.26945355e-14  4.28105868e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  2.96106268e-07  2.94822553e-07  2.94822553e-04  1.06314980e-06  1.06314454e-06  4.25869254e-14  1.06314448e-06  1.06314965e-06  4.26883255e-14  4.28046575e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.06921514e-07  3.05588955e-07  3.05588955e-04  4.27998905e-14  4.26823551e-14  1.06314791e-06  1.06314126e-06  1.06314790e-06  4.26820515e-14  4.27986723e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.17285478e-07  3.15908154e-07  3.15908154e-04  1.06315737e-06  4.26027567e-14  1.06314142e-06  1.06313834e-06  1.06314627e-06  4.26762286e-14  4.27931222e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.27577412e-07  3.26157511e-07  3.26157511e-04  4.26708738e-14  1.06314471e-06  1.06313559e-06  1.06313558e-06  1.06314469e-06  4.26706180e-14  4.27877789e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  3.37492576e-07  3.36033345e-07  3.36033345e-04  1.06314343e-06  1.06313311e-06  1.06313045e-06  1.06313304e-06  1.06314322e-06  4.26653650e-14  4.27827801e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.52871998e-07  3.51354877e-07  3.51354877e-04  4.32143709e-14  4.31085861e-14  4.30008946e-14  4.28905352e-14  4.27765418e-14  1.06317388e-06  4.27752961e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.64042768e-07  3.62485866e-07  3.62485866e-04  1.06317254e-06  4.27567104e-14  4.28241036e-14  4.28239904e-14  4.27564440e-14  1.06317245e-06  4.27700521e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.75147732e-07  3.73553093e-07  3.73553093e-04  4.27662021e-14  1.06317114e-06  4.27387515e-14  4.27764613e-14  4.27385533e-14  1.06317106e-06  4.27649884e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.86050513e-07  3.84420519e-07  3.84420519e-04  1.06315428e-06  1.06315323e-06  4.26816463e-14  4.27393611e-14  4.27225809e-14  1.06316974e-06  4.27601536e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  3.97137565e-07  3.95473287e-07  3.95473287e-04  4.28712775e-14  4.27568520e-14  1.06316852e-06  4.27077997e-14  4.27076509e-14  1.06316843e-06  4.27553683e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.08007841e-07  4.06311537e-07  4.06311537e-04  1.06316256e-06  4.26477153e-14  1.06315918e-06  4.26812353e-14  4.26940815e-14  1.06316717e-06  4.27507982e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.18782022e-07  4.17055484e-07  4.17055484e-04  4.27012474e-14  1.06315322e-06  1.06315129e-06  4.26581655e-14  4.26815172e-14  1.06316596e-06  4.27463811e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.29206449e-07  4.27452057e-07  4.27452057e-04  1.06314725e-06  1.06313985e-06  1.06314458e-06  4.26381913e-14  4.26700848e-14  1.06316481e-06  4.27422088e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.40814895e-07  4.39031068e-07  4.39031068e-04  4.29657361e-14  4.28545330e-14  4.27391622e-14  1.06316365e-06  4.26580837e-14  1.06316356e-06  4.27376744e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.51729780e-07  4.49919771e-07  4.49919771e-04  1.06316729e-06  4.26943420e-14  4.26812817e-14  1.06315916e-06  4.26474169e-14  1.06316242e-06  4.27335130e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.62470426e-07  4.60636039e-07  4.60636039e-04  4.27307166e-14  1.06316139e-06  4.26375771e-14  1.06315507e-06  4.26374384e-14  1.06316131e-06  4.27295101e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.72942080e-07  4.71085233e-07  4.71085233e-04  1.06315066e-06  1.06314614e-06  4.26023742e-14  1.06315135e-06  4.26281534e-14  1.06316026e-06  4.27256914e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.83788750e-07  4.81909976e-07  4.81909976e-04  4.28117951e-14  4.26948273e-14  1.06315139e-06  1.06314773e-06  4.26189530e-14  1.06315918e-06  4.27218196e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  4.94187097e-07  4.92288568e-07  4.92288568e-04  1.06315835e-06  4.26108012e-14  1.06314449e-06  1.06314447e-06  4.26104954e-14  1.06315818e-06  4.27181842e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  5.04517674e-07  5.02600731e-07  5.02600731e-04  4.26764390e-14  1.06314627e-06  1.06313834e-06  1.06314139e-06  4.26024139e-14  1.06315720e-06  4.27146436e-14 
