 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.29444719e-11  8.74046978e-09  8.74046978e-06  1.13505936e-14  1.17839556e-14  1.20226947e-14  1.18427311e-14  1.21729523e-14  1.13399029e-14  1.11721616e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.16439236e-09  9.80984702e-09  9.80984702e-06  1.04363165e-07  1.15582949e-14  1.18173473e-14  1.16670930e-14  1.20141131e-14  1.12076719e-14  1.10500834e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.26124288e-09  1.08386426e-08  1.08386426e-05  1.11286341e-14  1.04698228e-07  1.17952167e-14  1.16466884e-14  1.19939722e-14  1.11894549e-14  1.10321352e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.35463453e-09  1.18723584e-08  1.18723584e-05  1.04362856e-07  1.04697897e-07  1.17814417e-14  1.16341391e-14  1.19816805e-14  1.11783944e-14  1.10212780e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.51130853e-09  1.29733466e-08  1.29733466e-05  1.11489386e-14  1.15578750e-14  1.07941695e-07  1.16244471e-14  1.19722507e-14  1.11699428e-14  1.10130131e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.61344805e-09  1.40284493e-08  1.40284493e-05  1.04362991e-07  1.15345861e-14  1.07941517e-07  1.16171255e-14  1.19651656e-14  1.11636216e-14  1.10068446e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.66178205e-09  1.50367006e-08  1.50367006e-05  1.11155512e-14  1.04697891e-07  1.07941373e-07  1.16112702e-14  1.19595326e-14  1.11586201e-14  1.10019771e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.68757846e-09  1.60270763e-08  1.60270763e-05  1.04362735e-07  1.04697647e-07  1.07941249e-07  1.16062856e-14  1.19547624e-14  1.11543895e-14  1.09978738e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.62203838e-09  1.69321328e-08  1.69321328e-05  1.11712215e-14  1.15823132e-14  1.17972572e-14  1.00394795e-07  1.19508985e-14  1.11509775e-14  1.09945670e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.72517913e-09  1.80036440e-08  1.80036440e-05  1.04363078e-07  1.15452674e-14  1.17824501e-14  1.00394705e-07  1.19467945e-14  1.11473678e-14  1.09910781e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.07669150e-08  1.90182052e-08  1.90182052e-05  1.11218481e-14  1.04698054e-07  1.17722336e-14  1.00394627e-07  1.19432939e-14  1.11442918e-14  1.09881149e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.17923892e-08  2.00191752e-08  2.00191752e-05  1.04362797e-07  1.04697772e-07  1.17640705e-14  1.00394556e-07  1.19401359e-14  1.11415281e-14  1.09854503e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.29088104e-08  2.11111513e-08  2.11111513e-05  1.11375175e-14  1.15451538e-14  1.07941388e-07  1.00394485e-07  1.19369613e-14  1.11387565e-14  1.09827940e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.39385724e-08  2.21201885e-08  2.21201885e-05  1.04362924e-07  1.15272279e-14  1.07941257e-07  1.00394423e-07  1.19342472e-14  1.11363914e-14  1.09805272e-14 
